id,link,bedrooms,bathrooms,area_m2,price,date,condition,location,latitude,longitude
P1753731208_11,https://www.fincaraiz.com.co/casa-en-venta-en-santa-ana-cucuta/10956157,5,4,420,1.200.000.000,2025-07-28 14:33:28.943726,Usado,"Santa ana, Cúcuta, Norte de santander",7.8905100000001,-72.46552
P1753731211_12,https://www.fincaraiz.com.co/casa-en-venta-en-alfonso-lopez-cucuta/191493465,3,1,250,320.000.000,2025-07-28 14:33:31.178854,Usado,"Alfonso lopez, Cúcuta, Norte de santander",7.875897487568,-72.513662154094
P1753731213_13,https://www.fincaraiz.com.co/casa-en-venta-en-niza-cucuta/192594520,3,3,99,430.000.000,2025-07-28 14:33:33.318587,Usado,"Niza, Cúcuta, Norte de santander",7.9142866951326,-72.48568450821
P1753731215_14,https://www.fincaraiz.com.co/casa-en-venta-en-zona-franca-cucuta/11082134,4,3,90,315.000.000,2025-07-28 14:33:35.337693,Usado,"Zona franca, Cúcuta, Norte de santander",7.920244850546,-72.492670559375
P1753731218_15,https://www.fincaraiz.com.co/casa-en-venta-en-quinta-oriental-cucuta/11047492,4,6,300,550.000.000,2025-07-28 14:33:38.800131,Usado,"Quinta oriental, Cúcuta, Norte de santander",7.919599,-72.5287222
P1753731221_16,https://www.fincaraiz.com.co/casa-en-venta-en-blanco-cucuta/11046779,5,4,237,780.000.000,2025-07-28 14:33:41.551755,Usado,"Blanco, Cúcuta, Norte de santander",7.87825584261731,-72.498898228223
P1753731223_17,https://www.fincaraiz.com.co/casa-en-venta-en-blanco-cucuta/10910517,4,3,154,330.000.000,2025-07-28 14:33:43.851621,Usado,"Blanco, Cúcuta, Norte de santander",7.876709232981,-72.499417361105
P1753731225_18,https://www.fincaraiz.com.co/casa-en-venta-en-quinta-oriental-cucuta/11082244,4,4,195,320.000.000,2025-07-28 14:33:45.925613,Usado,"Quinta oriental, Cúcuta, Norte de santander",7.895624988198,-72.495159982934
P1753731228_19,https://www.fincaraiz.com.co/casa-en-venta-en-quinta-velez-cucuta/3529968,5,3,300,550.000.000,2025-07-28 14:33:48.670596,Usado,"Quinta velez, Cúcuta, Norte de santander",7.8890971,-72.4966896
P1753731231_20,https://www.fincaraiz.com.co/casa-en-venta-en-ciudad-jardin-cucuta/11082384,3,1,139,270.000.000,2025-07-28 14:33:51.218135,Usado,"Ciudad jardin, Cúcuta, Norte de santander",7.9062000000001,-72.48927
