id,link,bedrooms,bathrooms,area_m2,price,date,condition,location
P1753665670_5,https://www.fincaraiz.com.co/casa-en-venta-en-el-contento-cucuta/192484851,3 Habs.,2 Baños,84 m²,$ 275.000.000,2025-07-27 20:21:10.735345,Usado,"El contento, Cúcuta, Norte de santander"
P1753665672_6,https://www.fincaraiz.com.co/casa-en-venta-en-claret-cucuta/192374022,4 Habs.,5 Baños,200 m²,$ 450.000.000,2025-07-27 20:21:12.606889,Usado,"Claret, Cúcuta, Norte de santander"
P1753665674_7,https://www.fincaraiz.com.co/casa-en-venta-en-sevilla-cucuta/191161390,4 Habs.,4 Baños,175 m²,$ 345.000.000,2025-07-27 20:21:14.689916,Usado,"Sevilla, Cúcuta, Norte de santander"
P1753665676_8,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192618901,4 Habs.,3 Baños,85 m²,$ 300.000.000,2025-07-27 20:21:16.795625,Usado,"Cúcuta, Norte de santander"
P1753665678_9,https://www.fincaraiz.com.co/casa-en-venta-en-zulima-cucuta/191786115,3 Habs.,2 Baños,92 m²,$ 350.000.000,2025-07-27 20:21:18.725183,Usado,"Zulima, Cúcuta, Norte de santander"
P1753665681_10,https://www.fincaraiz.com.co/casa-en-venta-en-callejon-cucuta/10855049,4 Habs.,1 Baño,138 m²,$ 200.000.000,2025-07-27 20:21:21.056197,Usado,"Callejon, Cúcuta, Norte de santander"
P1753665683_11,https://www.fincaraiz.com.co/casa-en-venta-en-ceiba-ii-cucuta/10874118,4 Habs.,4 Baños,114 m²,$ 480.000.000,2025-07-27 20:21:23.233664,Usado,"Ceiba ii, Cúcuta, Norte de santander"
P1753665685_12,https://www.fincaraiz.com.co/casa-en-venta-en-torcoroma-cucuta/10348073,7 Habs.,3 Baños,200 m²,$ 240.000.000,2025-07-27 20:21:25.134243,Usado,"Torcoroma, Cúcuta, Norte de santander"
P1753665686_13,https://www.fincaraiz.com.co/casa-en-venta-en-aniversario-et-ii-cucuta/10848589,5 Habs.,2 Baños,94 m²,$ 205.000.000,2025-07-27 20:21:26.990062,Usado,"Aniversario et ii, Cúcuta, Norte de santander"
P1753665689_14,https://www.fincaraiz.com.co/casa-en-venta-en-buena-esperanza-cucuta/10872267,3 Habs.,4 Baños,200 m²,$ 1.200.000.000,2025-07-27 20:21:29.097071,Usado,"Buena esperanza, Cúcuta, Norte de santander"
P1753665690_15,https://www.fincaraiz.com.co/casa-en-venta-en-sector-sur-cucuta/191721398,2 Habs.,2 Baños,12 m²,$ 130.000.000,2025-07-27 20:21:30.952832,Usado,"Sector sur, Cúcuta, Norte de santander"
